Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3390-6259-6655-09123..3,"Feb 1, 2026",12:15:28 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,2981 BJ,EUR,1.98,7.469200,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3390-6259-6655-09123..3,"Feb 1, 2026",12:15:28 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,2981 BJ,EUR,-0.30,7.469200,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3318-5004-1057-48824,"Feb 1, 2026",12:34:48 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,a35x,NL,,8022 RR,EUR,1.98,7.469200,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,In-app
GPA.3318-5004-1057-48824,"Feb 1, 2026",12:34:48 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,a35x,NL,,8022 RR,EUR,-0.30,7.469200,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3393-3496-3819-02224..2,"Feb 1, 2026",1:15:43 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,AU,TAS,7005,AUD,3.63,4.388700,DKK,15.93,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3393-3496-3819-02224..2,"Feb 1, 2026",1:15:43 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,AU,TAS,7005,AUD,-0.54,4.388700,DKK,-2.37,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3394-2196-0843-78056..2,"Feb 1, 2026",1:56:07 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,8581,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3394-2196-0843-78056..2,"Feb 1, 2026",1:56:07 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,8581,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3360-3637-9271-97630..15,"Feb 1, 2026",2:28:18 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,1214 NB,EUR,1.98,7.469200,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3360-3637-9271-97630..15,"Feb 1, 2026",2:28:18 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,1214 NB,EUR,-0.30,7.469200,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3344-5657-3205-32780..0,"Feb 1, 2026",5:51:55 AM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,GB,,TR36FP,GBP,1.74,8.625900,DKK,15.01,prosub,,4994183596643847628,Yes,,,,
