"iTunes Connect - Payments and Financial Reports	(March, 2026)",,,,,,,,,,,,
,,,,,,,,,,,,
Country or Region (Currency),Units Sold,Earned,Pre-Tax Subtotal,Input Tax,Adjustments,Withholding Tax,Total Owed,Exchange Rate,Proceeds,Bank Account Currency,
"Brazil (BRL)","1","9.58","9.58","0","0","-1.94","7.64","1.28534","9.82","DKK",
"Canada (CAD)","1","2.54","2.54","0","0","0","2.54","4.67323","11.87","DKK",
"Denmark (DKK)","58","1531.36","1531.36","0","0","0","1531.36","1.00000","1531.36","DKK",
"Euro-Zone (EUR)","21","98.06","98.06","0","0","0","98.06","7.45758","731.29","DKK",
"United Kingdom (GBP)","1","21.18","21.18","0","0","0","21.18","8.60482","182.25","DKK",
"Norway (NOK)","4","78.88","78.88","0","0","0","78.88","0.68598","54.11","DKK",
"Sweden (SEK)","19","374.68","374.68","0","0","0","374.68","0.68859","258.00","DKK",
"Americas (USD)","3","5.07","5.07","0","0","0","5.07","6.37870","32.34","DKK",
,,,,,,,,,,,,
,,,,,,,,,,"2,811.04 DKK",,
,,,,,,,,,,Paid to DANSKE BANK A/S-****5549,,
,,,,,,,,,,,,
,,,,,,,,,,,,
